Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Further Maths - TL,2019-11-04,09:10,2019-11-04,10:00,FALSE,Mr T Lister,Q Room 17,TRUE
Further Maths - MF,2019-11-04,10:00,2019-11-04,10:50,FALSE,Mr M Fitzsimons,Q Room 26,TRUE
Physics - FE,2019-11-04,11:10,2019-11-04,12:00,FALSE,Miss F Elliott,QB4,TRUE
Physics - TB,2019-11-04,12:00,2019-11-04,12:50,FALSE,Dr T Brunt,QQ4,TRUE
Computer Science - SP,2019-11-04,14:20,2019-11-04,15:10,FALSE,Mr S Paget,W IT3,TRUE
Computer Science - SP,2019-11-05,09:10,2019-11-05,10:00,FALSE,Mr S Paget,W IT3,TRUE
Computer Science - SP,2019-11-05,10:00,2019-11-05,10:50,FALSE,Mr S Paget,W IT3,TRUE
Further Maths - MF,2019-11-05,12:00,2019-11-05,12:50,FALSE,Mr M Fitzsimons,Q Room 26,TRUE
Further Maths - DG,2019-11-05,14:20,2019-11-05,15:10,FALSE,Mr D Gratrick,Q Room 25,TRUE
Physics - TB,2019-11-05,15:10,2019-11-05,16:00,FALSE,Dr T Brunt,QQ4,TRUE
Further Maths - MF,2019-11-06,09:10,2019-11-06,10:00,FALSE,Mr M Fitzsimons,Q Room 26,TRUE
Further Maths - MF,2019-11-06,10:00,2019-11-06,10:50,FALSE,Mr M Fitzsimons,Q Room 26,TRUE
Physics - FE,2019-11-06,11:10,2019-11-06,12:00,FALSE,Miss F Elliott,QB4,TRUE
Physics - TB,2019-11-06,12:00,2019-11-06,12:50,FALSE,Dr T Brunt,QQ4,TRUE
Further Maths - DG,2019-11-07,09:10,2019-11-07,10:00,FALSE,Mr D Gratrick,Q Room 25,TRUE
Further Maths - TL,2019-11-07,10:00,2019-11-07,10:50,FALSE,Mr T Lister,Q Room 17,TRUE
Computer Science - ML,2019-11-07,11:10,2019-11-07,12:00,FALSE,Mr M Lassey,W IT1,TRUE
Computer Science - ML,2019-11-07,12:00,2019-11-07,12:50,FALSE,Mr M Lassey,W IT1,TRUE
Physics - FE,2019-11-12,09:10,2019-11-12,10:00,FALSE,Miss F Elliott,QB4,TRUE
Physics - FE,2019-11-12,10:00,2019-11-12,10:50,FALSE,Miss F Elliott,QB4,TRUE
Further Maths - DG,2019-11-12,11:10,2019-11-12,12:00,FALSE,Mr D Gratrick,Q Room 25,TRUE
Further Maths - TL,2019-11-12,12:00,2019-11-12,12:50,FALSE,Mr T Lister,Q Room 17,TRUE
Computer Science - SP,2019-11-12,15:10,2019-11-12,16:00,FALSE,Mr S Paget,W IT3,TRUE
Further Maths - MF,2019-11-13,09:10,2019-11-13,10:00,FALSE,Mr M Fitzsimons,Q Room 26,TRUE
Further Maths - MF,2019-11-13,10:00,2019-11-13,10:50,FALSE,Mr M Fitzsimons,Q Room 26,TRUE
Computer Science - ML,2019-11-13,11:10,2019-11-13,12:00,FALSE,Mr M Lassey,W IT1,TRUE
Computer Science - ML,2019-11-13,12:00,2019-11-13,12:50,FALSE,Mr M Lassey,W IT1,TRUE
